Registo;Tempo Absoluto (Segundos);Metodo de Deslocamento Em Uso;Estado Actual;Vel. Real (Directa, Normal);Vel. Real (Directa, Kalman);Vel. Virtual in Use (WIP);Vel. Virtual (WIP, Normal);Vel. Virtual (WIP, Kalman);Vel. Virtual (WIP, Event, Normal);Vel. Virtual (WIP, Event, Kalman);Vel. Virtual * Aumento (WIP);Vel. Virtual * Aumento (WIP) * Delta;Delta;Joint Vel. Real (Vector 2);Joint Camera (Vector 3);Joelho Direito (y);Joelho Esquerdo (y);Desvio Joelho Direito;Desvio Joelho Esquerdo;Desvio Joelho Geral;Desvio Joelho Kalman;Direito FootStates (WIP);Esquerdo FootStates (WIP);Direito FootTransitionEvents (WIP);Esquerdo FootTransitionEvents (WIP);N. Passos Total (WIP);N. Passos Direito (WIP);N. Passos Esquerdo (WIP);Distancia Direct;Distancia Wip;Distancia Estacionario;Distancia do anterior;Altura;Threshold de Velocidade Directa;Threshold de Velocidade WIP;Threshold Diff Knee;Threshold do Passo (WIP);Velocidade Inicial WIP;Velocidade Maxima WIP;Tempo;Id;Nivel;Vel. Real (Directa, Kalman, Base);Begin Stop Active;Vel. Virtual in Use (Estado, WIP)
22;1,928974;CWIP;Estacionario;0,08680031;0,03088265;0,2085836;0,03030264;0,03042481;0,2085836;0,2099845;0,2085836;0;0;( 0.307f, -0.619f );( 0.330f, 1.369f, -0.676f );0,479;0,482;0;0,002999991;0,002999991;0,001573007;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;2;0;2;0,001416515;0;0;0,001416515;1,355626;0,8;0;0,05;0,035;0,45;4;20170201T124830;6;03_Sc_CWIP_Passthrough;0,03088265;True;0
23;2,012708;CWIP;Estacionario;0,06085978;0,02845015;0,2085836;0;0,02220536;0,2085836;0,209606;0,2085836;0;0;( 0.307f, -0.620f );( 0.329f, 1.368f, -0.679f );0,479;0,48;0;0,0009999871;0,0009999871;0,001035066;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,001411164;0;0;0,001411164;1,353799;0,8;0;0,05;0,035;0,45;4;20170201T124830;6;03_Sc_CWIP_Passthrough;0,02845015;True;0
24;2,076142;CWIP;Estacionario;0,03890662;0,02282589;0;0;0,01620644;0;0,1529796;0;0;0;( 0.306f, -0.620f );( 0.329f, 1.371f, -0.680f );0,48;0,481;0;0,001000017;0,001000017;0,0007485258;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,0009999945;0;0;0,0009999945;1,355859;0,8;0;0,05;0,035;0,45;4;20170201T124830;6;03_Sc_CWIP_Passthrough;0,02282589;True;0
25;2,16335;CWIP;Estacionario;0;0,01215871;0;0;0,01182817;0;0,1116512;0;0;0;( 0.306f, -0.620f );( 0.328f, 1.380f, -0.679f );0,482;0,485;0;0,003000021;0,003000021;0,0009902383;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,0009994507;0;0;0,0009994507;1,36362;0,8;0;0,05;0,035;0,45;4;20170201T124830;6;03_Sc_CWIP_Passthrough;0,01215871;True;0
26;2,215905;CWIP;Estacionario;0,05278805;0,01688492;0;0;0,008632716;0;0,08148795;0;0;0;( 0.307f, -0.620f );( 0.327f, 1.395f, -0.676f );0,483;0,491;0;0,007999986;0,007999986;0,002104844;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0;1,378355;0,8;0;0,05;0,035;0,45;4;20170201T124830;6;03_Sc_CWIP_Passthrough;0,01688492;True;0
27;2,332248;CWIP;Estacionario;0,0453108;0,01792814;0;0;0,006300534;0;0,05947347;0;0;0;( 0.308f, -0.619f );( 0.327f, 1.414f, -0.670f );0,482;0,496;0;0,014;0,014;0,003881597;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,0009994507;0;0;0,0009994507;1,403818;0,8;0;0,05;0,035;0,45;4;20170201T124830;6;03_Sc_CWIP_Passthrough;0,01792814;True;0
28;2,382586;CWIP;Estacionario;0;0,009549816;0;0;0,004598406;0;0,04340634;0;0;0;( 0.308f, -0.619f );( 0.326f, 1.434f, -0.665f );0,481;0,5;0;0,01899999;0,01899999;0,005813881;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,001413816;0;0;0,001413816;1,422814;0,8;0;0,05;0,035;0,45;4;20170201T124830;6;03_Sc_CWIP_Passthrough;0,009549816;True;0
29;2,446006;CWIP;Estacionario;0;0,005086919;0;0;0,003356118;0;0,03167985;0;0;0;( 0.308f, -0.619f );( 0.326f, 1.447f, -0.661f );0,479;0,499;0;0,02000001;0,02000001;0,00704033;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0;1,434922;0,8;0;0,05;0,035;0,45;4;20170201T124830;6;03_Sc_CWIP_Passthrough;0,005086919;True;0
31;2,583027;CWIP;Estacionario;0,07345486;0,02048701;0;0;0,00178771;0;0,01687497;0;0;0;( 0.309f, -0.622f );( 0.324f, 1.479f, -0.656f );0,474;0,489;0;0,01499999;0,01499999;0,007055753;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,0009999871;0;0;0,0009999871;1,462601;0,8;0;0,05;0,035;0,45;4;20170201T124830;6;03_Sc_CWIP_Passthrough;0,02048701;True;0
32;2,632716;CWIP;Estacionario;0,1197052;0,03451534;0;0;0,001304749;0;0,01231609;0;0;0;( 0.309f, -0.624f );( 0.324f, 1.489f, -0.657f );0,475;0,482;0;0,006999999;0,006999999;0,005138604;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,002235799;0;0;0,002235799;1,470933;0,8;0;0,05;0,035;0,45;4;20170201T124831;6;03_Sc_CWIP_Passthrough;0,03451534;True;0
33;2,781118;CWIP;Estacionario;0,1325481;0,04452011;0;0;0,0009522629;0;0,008988823;0;0;0;( 0.309f, -0.627f );( 0.323f, 1.493f, -0.660f );0,476;0,476;0;0;0;0,01725819;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,002000034;0;0;0,002000034;1,479389;0,8;0;0,05;0,035;0,45;4;20170201T124831;6;03_Sc_CWIP_Passthrough;0,04452011;False;0
34;2,850293;CWIP;Estacionario;0,1367524;0,05067834;0;0;0,0006950031;0;0,006560436;0;0;0;( 0.309f, -0.631f );( 0.322f, 1.492f, -0.666f );0,477;0,471;0,006000012;0;0,006000012;0,01037599;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,002999961;0;0;0,002999961;1,482068;0,8;0;0,05;0,035;0,45;4;20170201T124831;6;03_Sc_CWIP_Passthrough;0,05067834;False;0
35;2,917328;CWIP;Estacionario;0,06671005;0,04014827;0;0;0,0005072437;0;0,004788094;0;0;0;( 0.309f, -0.633f );( 0.322f, 1.486f, -0.672f );0,478;0,467;0,01099998;0;0,01099998;0,007695883;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,004000008;0;0;0,004000008;1,481618;0,8;0;0,05;0,035;0,45;4;20170201T124831;6;03_Sc_CWIP_Passthrough;0,04014827;False;0
36;2,968681;CWIP;Estacionario;0,1153388;0,04412741;0;0;0,0003702087;0;0,00349456;0;0;0;( 0.309f, -0.635f );( 0.321f, 1.477f, -0.676f );0,479;0,464;0,01500002;0;0,01500002;0,007056962;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,002000038;0;0;0,002000038;1,477897;0,8;0;0,05;0,035;0,45;4;20170201T124831;6;03_Sc_CWIP_Passthrough;0,04412741;False;0
37;3,0551;CWIP;Estacionario;0,05103277;0,03356766;0;0;0,0002701945;0;0,002550483;0;0;0;( 0.309f, -0.636f );( 0.320f, 1.467f, -0.680f );0,48;0,463;0,01699999;0;0,01699999;0,007110965;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,001999978;0;0;0,001999978;1,470291;0,8;0;0,05;0,035;0,45;4;20170201T124831;6;03_Sc_CWIP_Passthrough;0,03356766;False;0
38;3,10192;CWIP;Estacionario;0;0,01788055;0;0;0,0001971998;0;0,001861454;0;0;0;( 0.309f, -0.636f );( 0.320f, 1.460f, -0.682f );0,481;0,462;0,01899999;0;0,01899999;0,007534075;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,0009999871;0;0;0,0009999871;1,463755;0,8;0;0,05;0,035;0,45;4;20170201T124831;6;03_Sc_CWIP_Passthrough;0,01788055;False;0
39;3,171311;CWIP;Estacionario;0,04343618;0,01808886;0;0;0,000143925;0;0,001358571;0;0;0;( 0.308f, -0.635f );( 0.320f, 1.450f, -0.684f );0,482;0,462;0,01999998;0;0,01999998;0,007956623;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0;1,45497;0,8;0;0,05;0,035;0,45;4;20170201T124831;6;03_Sc_CWIP_Passthrough;0,01808886;False;0
40;3,253312;CWIP;Estacionario;0,03488165;0,01651311;0;0;0,0001050428;0;0,0009915446;0;0;0;( 0.308f, -0.634f );( 0.319f, 1.442f, -0.684f );0,483;0,462;0,021;0;0,021;0,008378878;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,001413816;0;0;0,001413816;1,447476;0,8;0;0,05;0,035;0,45;4;20170201T124831;6;03_Sc_CWIP_Passthrough;0,01651311;False;0
41;3,336253;CWIP;Estacionario;0,03547437;0,01579062;0;0;7,666483E-05;0;0,0007236726;0;0;0;( 0.308f, -0.633f );( 0.319f, 1.437f, -0.684f );0,483;0,462;0,021;0;0,021;0,008603802;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,0009999871;0;0;0,0009999871;1,441055;0,8;0;0,05;0,035;0,45;4;20170201T124831;6;03_Sc_CWIP_Passthrough;0,01579062;False;0
42;3,420069;CWIP;Estacionario;0,03761613;0,01582806;0;0;5,595335E-05;0;0,0005281679;0;0;0;( 0.308f, -0.632f );( 0.319f, 1.434f, -0.683f );0,483;0,462;0,021;0;0,021;0,008723612;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,0009999871;0;0;0,0009999871;1,435937;0,8;0;0,05;0,035;0,45;4;20170201T124831;6;03_Sc_CWIP_Passthrough;0,01582806;False;0
43;3,470135;CWIP;Estacionario;0,08798292;0,02577892;0;0;4,08372E-05;0;0,0003854801;0;0;0;( 0.307f, -0.631f );( 0.319f, 1.433f, -0.682f );0,482;0,463;0,01899999;0;0,01899999;0,008393087;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,0009999871;0;0;0,0009999871;1,435205;0,8;0;0,05;0,035;0,45;4;20170201T124831;6;03_Sc_CWIP_Passthrough;0,02577892;False;0
44;3,554113;CWIP;Estacionario;0,06064571;0,02568933;0;0;2,980478E-05;0;0,0002813403;0;0;0;( 0.307f, -0.630f );( 0.319f, 1.435f, -0.680f );0,481;0,464;0,01700002;0;0,01700002;0,007822687;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,001413858;0;0;0,001413858;1,436971;0,8;0;0,05;0,035;0,45;4;20170201T124831;6;03_Sc_CWIP_Passthrough;0,02568933;False;0
45;3,617863;CWIP;Estacionario;0,04219533;0,02200372;0;0;2,175283E-05;0;0,0002053344;0;0;0;( 0.307f, -0.629f );( 0.320f, 1.439f, -0.678f );0,48;0,465;0,01499999;0;0,01499999;0,007124501;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,0009999871;0;0;0,0009999871;1,440704;0,8;0;0,05;0,035;0,45;4;20170201T124831;6;03_Sc_CWIP_Passthrough;0,02200372;False;0
46;3,706925;CWIP;Estacionario;0,03460506;0,0185439;0;0;1,587617E-05;0;0,0001498621;0;0;0;( 0.306f, -0.629f );( 0.321f, 1.445f, -0.675f );0,478;0,466;0,01199999;0;0,01199999;0,006161083;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,0009999871;0;0;0,0009999871;1,446644;0,8;0;0,05;0,035;0,45;4;20170201T124832;6;03_Sc_CWIP_Passthrough;0,0185439;False;0
47;3,735327;CWIP;Estacionario;0,04571715;0,01889195;0;0;1,158712E-05;0;0,0001093759;0;0;0;( 0.307f, -0.629f );( 0.322f, 1.450f, -0.673f );0,477;0,467;0,00999999;0;0,00999999;0,005253552;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,0009994507;0;0;0,0009994507;1,45091;0,8;0;0,05;0,035;0,45;4;20170201T124832;6;03_Sc_CWIP_Passthrough;0,01889195;False;0
49;3,923072;CWIP;Estacionario;0,03549578;0,01235916;0;0;6,172136E-06;0;5,826147E-05;0;0;0;( 0.308f, -0.629f );( 0.326f, 1.462f, -0.666f );0,474;0,469;0,004999995;0;0,004999995;0,003316723;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0;1,463556;0,8;0;0,05;0,035;0,45;4;20170201T124832;6;03_Sc_CWIP_Passthrough;0,01235916;False;0
50;3,987684;CWIP;Estacionario;0,03607197;0,01369575;0;0;4,504695E-06;0;4,252177E-05;0;0;0;( 0.308f, -0.628f );( 0.328f, 1.466f, -0.662f );0,474;0,47;0,004000008;0;0,004000008;0,002555414;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,0009994507;0;0;0,0009994507;1,467466;0,8;0;0,05;0,035;0,45;4;20170201T124832;6;03_Sc_CWIP_Passthrough;0,01369575;False;0
53;4,261416;CWIP;Estacionario;0,08476357;0,02719882;0;0;1,751278E-06;0;1,653108E-05;0;0;0;( 0.307f, -0.624f );( 0.333f, 1.463f, -0.655f );0,482;0,468;0,014;0;0,014;0,004483497;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,0009999871;0;0;0,0009999871;1,452325;0,8;0;0,05;0,035;0,45;4;20170201T124832;6;03_Sc_CWIP_Passthrough;0,02719882;False;0
54;4,321921;CWIP;Estacionario;0;0,01448805;0;0;1,27816E-06;0;1,20651E-05;0;0;0;( 0.307f, -0.624f );( 0.333f, 1.463f, -0.655f );0,482;0,468;0,014;0;0,014;0,005148639;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,001411122;0;0;0,001411122;1,452325;0,8;0;0,05;0,035;0,45;4;20170201T124832;6;03_Sc_CWIP_Passthrough;0,01448805;False;0
55;4,391687;CWIP;Estacionario;0,07587221;0,02267724;0;0;9,328568E-07;0;8,80564E-06;0;0;0;( 0.306f, -0.622f );( 0.334f, 1.454f, -0.655f );0,485;0,469;0,016;0;0,016;0,005897285;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;3,814697E-06;0;0;3,814697E-06;1,440574;0,8;0;0,05;0,035;0,45;4;20170201T124832;6;03_Sc_CWIP_Passthrough;0,02267724;False;0
56;4,459049;CWIP;Estacionario;0;0,01207953;0;0;6,808398E-07;0;6,426742E-06;0;0;0;( 0.306f, -0.622f );( 0.335f, 1.446f, -0.657f );0,485;0,47;0,01500002;0;0,01500002;0,006098899;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,002235853;0;0;0,002235853;1,432681;0,8;0;0,05;0,035;0,45;4;20170201T124832;6;03_Sc_CWIP_Passthrough;0,01207953;False;0
57;4,509735;CWIP;Estacionario;0;0,006434427;0;0;4,969067E-07;0;4,690518E-06;0;0;0;( 0.306f, -0.622f );( 0.334f, 1.438f, -0.659f );0,485;0,471;0,01400003;0;0,01400003;0,006009124;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0;1,426061;0,8;0;0,05;0,035;0,45;4;20170201T124832;6;03_Sc_CWIP_Passthrough;0,006434427;False;0
